NP_ID	seller_count
15817	622
1282	54
51169	45
3828	36
42379	31
16427	29
17884	25
17	24
31359	18
69890	17
30	17
18720	17
5232	17
69140	16
16159	16
17809	15
16353	15
16400	14
5306	13
69083	13
302	13
19201	13
86884	12
17305	12
18939	12
54226	11
3305	11
21893	11
73180	11
17160	11
17239	10
30515	10
4332	10
18211	10
15794	10
24225	10
74664	10
19171	10
3143	10
15834	10
1155	10
54326	10
30140	9
23047	9
11248	9
30465	9
41576	9
2477	9
45454	9
16011	9
19359	9
17937	8
3242	8
11763	8
17879	8
17451	8
1445	8
3909	8
42235	8
2424	8
391	8
40638	8
21024	8
73226	8
11641	8
69783	8
31085	8
30754	8
19740	8
21067	8
69458	8
246	8
42080	7
583	7
19462	7
31151	7
32760	7
19543	7
30627	7
50788	7
76870	7
72205	7
31710	7
549	7
21052	7
43176	7
30028	7
16917	7
42137	7
72306	7
2543	7
19790	7
73870	7
1510	7
19074	7
600	7
46735	7
15832	7
22139	7
16036	7
21418	7
42123	7
69475	7
16156	7
2058	7
158	7
2942	7
16042	7
21606	7
229	7
80992	7
73216	6
18647	6
30099	6
73116	6
3797	6
24397	6
32936	6
11720	6
54790	6
35759	6
30630	6
18922	6
81614	6
42678	6
19553	6
72258	6
1950	6
30609	6
4833	6
52205	6
76997	6
50349	6
49779	6
17299	6
20793	6
30593	6
47760	6
53627	6
18191	6
1054	6
17436	6
50361	6
16977	6
70602	6
19522	6
31683	6
2064	6
3936	6
3856	6
2723	6
16120	6
17803	6
19062	6
33354	6
16344	6
22447	6
23701	6
43309	6
20027	6
22198	6
72293	6
17425	6
15780	6
70010	6
16837	6
20790	6
17869	6
24547	6
73101	6
30331	5
31511	5
20626	5
4015	5
21422	5
22441	5
15798	5
4509	5
3687	5
75404	5
5572	5
32139	5
34153	5
42488	5
647	5
17805	5
84247	5
73996	5
17668	5
48250	5
5315	5
24146	5
52504	5
51599	5
4640	5
16692	5
20335	5
43747	5
46090	5
46656	5
35846	5
23179	5
3751	5
10788	5
11128	5
934	5
4223	5
19624	5
30459	5
3700	5
42456	5
42213	5
80800	5
70437	5
18194	5
32681	5
19917	5
15915	5
17568	5
35982	5
15833	5
42108	5
19174	5
2151	5
19752	5
4066	5
1135	5
23890	5
4779	5
4676	5
156	5
4602	5
18584	5
3170	5
69802	5
83642	5
43005	5
23405	5
22917	5
10735	5
2674	5
17535	5
23871	5
24112	5
23485	5
16440	5
34024	5
5514	5
29529	5
847	5
11691	5
81	5
30406	5
84656	5
85264	5
74494	5
20839	5
16839	5
16941	5
17111	5
30838	5
24082	5
22001	5
30785	5
17574	5
17935	5
4840	5
18322	5
16668	5
18786	5
24220	5
75926	5
22270	5
17113	5
80915	5
17422	5
15975	5
17104	5
17811	5
20381	5
17867	5
16484	5
2753	5
30236	5
5005	5
19429	5
5336	5
18567	5
22716	5
29748	5
17686	5
2795	5
17614	5
69566	5
17332	5
73526	5
19295	4
19856	4
51909	4
2526	4
72202	4
30531	4
23899	4
21453	4
22672	4
4819	4
4790	4
17154	4
44	4
15773	4
18622	4
23418	4
11085	4
16661	4
82817	4
20780	4
34452	4
35606	4
1907	4
33232	4
1783	4
22512	4
24317	4
31260	4
